T,SU,EX,I0,I1,I2,I3,RE,ED
151,0.08893799744474215,6.624544580247115E-5,6.268737524352717E-4,0.0024194073928908086,0.00204246546040438,0.0031555390231657724,0.8597296419238392,7.244410179163132E-4
152,0.08887349555195455,6.005499291535923E-5,5.672857596391505E-4,0.0021877175839116296,0.0018596197243179009,0.00293724051785545,0.8602875459795593,7.27596556939479E-4
153,0.08881460180488908,5.445007228786368E-5,5.134685134854803E-4,0.001978290788443857,0.0016925387389997275,0.0027320653586095094,0.8607932247554684,7.305337974573344E-4
154,0.08876078666397753,4.937441082129672E-5,4.648491744078439E-4,0.0017889954340226527,0.001539954764923673,0.002539451875703929,0.8612511440490684,7.33265862815944E-4
155,0.088711571363811,4.477726083334277E-5,4.209136168053222E-4,0.0016179005664510642,0.0014006883584883412,0.0023588342008566514,0.8616653978153588,7.358053146916479E-4
156,0.08866652294397885,4.061284126395369E-5,3.812001687043283E-4,0.0014632577875780923,0.001273644308667836,0.002189646891441006,0.8620397376824687,7.381641488925046E-4
157,0.0886252497800668,3.683983776484208E-5,3.4529404927470585E-4,0.0013234846529496058,0.0011578074074630469,0.0020313288987946388,0.8623776003401856,7.403537957839456E-4
158,0.08858739756247024,3.342095510757159E-5,3.1282242300221066E-4,0.0011971494440957571,0.0010522381353018089,0.0018833269383005404,0.8626821329207754,7.423851246827402E-4
159,0.08855264567645926,3.0322516132841787E-5,2.834499990534848E-4,0.0010829572282885823,9.560683280172578E-4,0.0017450983170131074,0.8629562164906498,7.442684516210408E-4
160,0.08852070394202727,2.751410214816972E-5,2.568751129372978E-4,9.797371186056052E-4,8.684968794252051E-4,0.0016161132721975518,0.8632024877693143,7.460135499380539E-4
161,0.08849130967655268,2.4968230277493927E-5,2.3282623509829773E-4,8.864306485998713E-4,7.887855226391212E-4,0.0014958568713864268,0.8634233591889061,7.476296632102515E-4
162,0.08846422504728214,2.2660063786708286E-5,2.110588576963041E-4,8.02081178422428E-4,7.162547239274761E-4,0.0013838305215507836,0.8636210374037815,7.491255200816379E-4
